"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Fri Jan 26 02:39:53 +0000 2024","1750710116578685138","Sebuah ajakan salam 4 jari sebagai ekspresi politik bukan Prabowo-Gibran dari @johnmuhammad_   Dahsyat!  #SatuTigaTambahKita https://t.co/AUErRwdNwX","12","5","99","167","in","57222373","1750710116578685138","gitaputrid","https://twitter.com/gitaputrid/status/1750710116578685138","https://pbs.twimg.com/media/GEvFkfObgAASP9o.jpg","She/Her"
"Thu Jan 25 18:05:24 +0000 2024","1750580645888430516","ternyata jadi anak presiden se-privileged itu ya 😔  pengalaman organisasi sama publikasi ga ada tapi bisa nyapres. mas gibran mau tukeran bapak gak? ugm_fess https://t.co/n65MrO6Zw0","19","25","113","823","in","1277749122296983552","1750580645888430516","UGM_FESS","https://twitter.com/UGM_FESS/status/1750580645888430516","https://pbs.twimg.com/media/GEtP0aDakAETVUQ.jpg","RULES"
"Fri Jan 26 03:19:37 +0000 2024","1750720117896585466","19 Hari Jelang Pencoblosan  TKN Optimistis Prabowo-Gibran Tembus 50%+1 ✌️🇲🇨  #PrabowoGibran2024  #GueMauSatuPutaran   #SaatnyaPindahKe02 KamuKITA PbowoGBRAN 14FebKeTPS UntukPAKBowo https://t.co/NtVVK0sLjw","0","0","1","2","in","886878090768424960","1750720117896585466","yosephrosario_","https://twitter.com/yosephrosario_/status/1750720117896585466","https://pbs.twimg.com/media/GEvN040acAAaDMJ.png",""
"Fri Jan 26 02:21:18 +0000 2024","1750705442895085616","Calon Wakil Presiden nomor urut 3 Mahfud MD dilaporkan ke Badan Pengawas Pemilu (Bawaslu)  atas pernyataan ‘ngawur’ yang ditujukan kepada cawapres nomor urut 2 Gibran Rakabuming Raka pada saat debat cawapres  Minggu (21/1). Laporan dibuat oleh Advokat Pengawas Pemilu (Awaslu) dan… https://t.co/C5M5x4WlqE","12","0","6","27","in","1162545299614662656","1750705442895085616","catchmeupid","https://twitter.com/catchmeupid/status/1750705442895085616","https://pbs.twimg.com/media/GEvBUZfbcAAhpIv.jpg",""
"Fri Jan 26 02:28:19 +0000 2024","1750707207447150765","Waktu saya kuliah  seenggaknya 2-3 semester saya harus mengajukan penangguhan  karena saat itu emang kuliah harus bayar sendiri  keluarga ada masalah ekonomi  dan gak kebagian beasiswa. Kalo kebijakan ITB dulu kaya sekarang  kayanya saya DO. Dan mungkin  nggak ada eFishery.… https://t.co/b26LRR5oNT","13","9","144","380","in","351930241","1750707207447150765","gibranhuzaifah","https://twitter.com/gibranhuzaifah/status/1750707207447150765","https://pbs.twimg.com/media/GEvC7G0a8AAcC4h.jpg","Bandung, Indonesia"
"Fri Jan 26 00:40:13 +0000 2024","1750680004747481290","Cawe-cawe mulu ni bokapnya Gibran 👀  Kami coba jabarkan apa dampaknya  sebuah utas https://t.co/pI03HlN5hE","0","1","9","20","in","1454020076","1750680004747481290","suluhpergerakan","https://twitter.com/suluhpergerakan/status/1750680004747481290","https://pbs.twimg.com/media/GEuqLPobcAAQ9as.jpg","Yogyakarta"
"Thu Jan 25 21:57:30 +0000 2024","1750639052213375082","di tiktok ada vt mbak rara anaknya cak imin lagi orasi kampanye bapaknya  terus komennya malah “01-03 kampanye dibantuin anaknya ya 🤭” “cuma 02 yang ga bawa2 anak 🤭” heh nyadar!!!! si gibran kampanye yg turun bapaknya langsung!! mana bapaknya PRESIDEN!!! Allahuuu GREGET BANGET","30","5","115","404","in","1381880916","1750639052213375082","jeongssaem","https://twitter.com/jeongssaem/status/1750639052213375082","","korea but not korean"
"Fri Jan 26 02:16:18 +0000 2024","1750704184360681964","Ganjar pertanyakan kayu ratusan ribu hektare food estate jangan-jangan dijual ke pabrik kertas  Silahkan mas @gibran_tweet dijawab.. https://t.co/4atCvjX775","0","9","23","76","in","1006827831995711488","1750704184360681964","ekowboy2","https://twitter.com/ekowboy2/status/1750704184360681964","https://pbs.twimg.com/ext_tw_video_thumb/1750703583337885696/pu/img/qmb_194uCkMGXIwv.jpg",""
"Fri Jan 26 02:02:26 +0000 2024","1750700692463882529","Heboh hoax IPK mas @gibran_tweet  2.3  pdhl di ijazah ga ada tertulis IPK   Kubu panik emx doyan bikin HOAX 😁 https://t.co/vrW20Llvak","2","7","14","27","in","1604408934525464576","1750700692463882529","xquitavee","https://twitter.com/xquitavee/status/1750700692463882529","https://pbs.twimg.com/ext_tw_video_thumb/1750700584137551872/pu/img/fxG0_-55mTiFoFa6.jpg","Hokota-shi, Ibaraki"
"Fri Jan 26 00:52:20 +0000 2024","1750683053234798965","Selamat pagi Papua 🫶🏻 https://t.co/hzqLEjKs2G","46","349","233","2564","in","1356478042797797377","1750683053234798965","gibran_tweet","https://twitter.com/gibran_tweet/status/1750683053234798965","https://pbs.twimg.com/media/GEus9JZaYAARfCb.jpg",""
