created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 19 23:56:40 +0000 2023;1693049374115611095;"Ade Armando: Gibran Lebih Suka Disebut Petugas Parkir Dibanding Petugas Partai  https://t.co/gdMWuGIwmC";0;0;0;0;in;1534781683999723520;1693049374115611095;langkatodaycom;https://twitter.com/langkatodaycom/status/1693049374115611095
Sat Aug 19 23:56:03 +0000 2023;1693049217886069220;"@yennywahid @gibran_tweet siap adu mekanik sama kidul omah mas gibran @gibran_tweet https://t.co/fasRgDxQ1p";0;0;0;4;in;527228395;1692479435939987841;xyblink;https://twitter.com/xyblink/status/1693049217886069220
Sat Aug 19 23:56:00 +0000 2023;1693049206544662998;"@kompascom Emang loe mau @gibran_tweet 😂🤣";0;0;0;0;in;1571687120;1692873582077190229;papa4bby;https://twitter.com/papa4bby/status/1693049206544662998
Sat Aug 19 23:54:57 +0000 2023;1693048942727229717;"@gibran_tweet undangan ketlisut ki lali panggon ndeleh po mz? wkwk";0;0;0;0;in;1008006498188865537;1692852131756495231;dickisujadi;https://twitter.com/dickisujadi/status/1693048942727229717
Sat Aug 19 23:54:30 +0000 2023;1693048828776362425;"@tukangbotol @ulinyusron @gibran_tweet Balik ke pohon aja mbak daripada pamer ketololan";0;0;0;0;in;901491337;1692811349028651231;BajerCekek;https://twitter.com/BajerCekek/status/1693048828776362425
Sat Aug 19 23:54:27 +0000 2023;1693048815388131626;"@Dhedy_Pro @HusinShihab @ganjarpranowo @gibran_tweet Mesjid Sheikh Zayed dak prestasine mas Gibran to, nggak akan bisa disamai bupati seluruh dunia,👏👏👏";0;1;0;0;in;1634404355305791488;1692815700010950780;agusasrori964;https://twitter.com/agusasrori964/status/1693048815388131626
Sat Aug 19 23:51:59 +0000 2023;1693048193175707793;"@tempodotco Berita yg viral ttg Anies baru2 ini adl Anies tengah membuka pintu2 dialog &amp  tanya jawab langsung dg publik, tentang apa saja. Sementara rivalnya, jika berita ini benar, viral tengah melakukan persekutuan/kerja sama antara presiden dg MK unt tujuan mengusung gibran sbg wapres…";0;0;1;1;in;1085254697185828864;1692764209967509670;Didikjzie;https://twitter.com/Didikjzie/status/1693048193175707793
Sat Aug 19 23:51:53 +0000 2023;1693048168781660602;"Pertimbangkan Gibran Cawapres, Beathor: Cara Cerdik Puan Selamatkan Kader dan PDIP akan Menang Lagi  https://t.co/EpJtSa8gnj";0;0;1;0;in;2918142446;1693048168781660602;suaranasional;https://twitter.com/suaranasional/status/1693048168781660602
Sat Aug 19 23:51:52 +0000 2023;1693048163144454623;"Entah si @bobbynasution_ lampu pocong tuh masih saja nakuti warga medan kok malam. Tak sakit matanya mandang lampu jalan yg tak ada nilai estetikanya sama sekali Pak @jokowi. Lihatlah lampu jalan di solo kotanya @gibran_tweet, dan yogya. Ada nilai seninya, elok dipandang. 😀";0;0;0;2;in;213168371;1693048163144454623;AH_SiregarXIX;https://twitter.com/AH_SiregarXIX/status/1693048163144454623
Sat Aug 19 23:50:43 +0000 2023;1693047877214601606;"@nawantityastuti @tanubrat2 @SekarTa58984305 @jokowi @gibran_tweet Betul kak 🙏salam kenal";0;0;0;0;in;1607540257205137408;1692400402690605195;dydyaa2;https://twitter.com/dydyaa2/status/1693047877214601606
