created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 30 23:58:55 +0000 2023;1697036205756678628;"@gibran_tweet Mas wali sampean milih sopo ?";0;0;0;0;in;1569308343461883906;1696504482786636239;Sulistyomadani;https://twitter.com/Sulistyomadani/status/1697036205756678628
Wed Aug 30 23:56:36 +0000 2023;1697035621565665513;"@gibran_tweet krisna mungkin";0;0;0;0;in;1343428792115556353;1696826853280125047;rachelalfiani;https://twitter.com/rachelalfiani/status/1697035621565665513
Wed Aug 30 23:55:35 +0000 2023;1697035366136737879;"@gibran_tweet Gak bisa dianeksasi atau diinvasi?";0;0;0;0;in;60074717;1696762287133217091;teguhsano;https://twitter.com/teguhsano/status/1697035366136737879
Wed Aug 30 23:53:46 +0000 2023;1697034908093620705;"@gibran_tweet tulisan kota solo itu yang bener solo atau sala mas?";0;0;0;0;in;2446570117;1696911325614805150;jokoignatius1;https://twitter.com/jokoignatius1/status/1697034908093620705
Wed Aug 30 23:53:06 +0000 2023;1697034741382557846;"@gibran_tweet masing-masing dan bisa menjalankan dengan penuh rasa tanggung jawab. Terimakasih 🙏🏻";0;0;0;1;in;1449989451195699204;1696911325614805150;HennyPujiPurwa1;https://twitter.com/HennyPujiPurwa1/status/1697034741382557846
Wed Aug 30 23:52:34 +0000 2023;1697034607643001110;"@gibran_tweet Nggih leres Bapak. Setiap permasalahan yang ada, mohon untuk diadukan kepada kepala wilayah masing-masing, dari kepala wilayah tingkat terendah dulu, tingkat sedang, baru tingkat teratas...begitu, jadi tidak makan gaji buta, sehingga tahu betul, tupoksinya";0;0;0;6;in;1449989451195699204;1696911325614805150;HennyPujiPurwa1;https://twitter.com/HennyPujiPurwa1/status/1697034607643001110
Wed Aug 30 23:52:29 +0000 2023;1697034587590049862;"@FennyAngela6 @gibran_tweet @KemenBUMN @BANKBRI_ID @erickthohir @OJK_Indonesia Sok paling cerdas, 😀 ente paham ga tugas walikota ? Bank BUMN itu diluar ranah walikota";0;0;0;1;in;1288772918931910664;1696751606531031482;OmKiki10;https://twitter.com/OmKiki10/status/1697034587590049862
Wed Aug 30 23:50:54 +0000 2023;1697034189022089365;"@gibran_tweet Kl HULK itu orang HIJAU, kalau orang BIRU itu BULK";0;0;0;0;in;719200698;1696826853280125047;agent_pin;https://twitter.com/agent_pin/status/1697034189022089365
Wed Aug 30 23:49:16 +0000 2023;1697033777921560849;"@gibran_tweet Orang biru kek avatar donk mas";0;0;0;0;in;1957763196;1696826853280125047;dinenggrss;https://twitter.com/dinenggrss/status/1697033777921560849
Wed Aug 30 23:46:25 +0000 2023;1697033060569804859;"@TaryokoL @NoviAd14 @Arman_topbgt @gibran_tweet @BANKBRI_ID @erickthohir Emang kelakuannya bgni kl ud ketauan.,kmren sebelum mas wali turun tangan gayanya sok anceman ud di lunasin alibinya gk masuk akal🤮";0;0;0;0;in;1485590932053708803;1696751606531031482;Avario15;https://twitter.com/Avario15/status/1697033060569804859
Wed Aug 30 23:45:01 +0000 2023;1697032705903665511;"@gibran_tweet Ya pas minta KUR  @kontakBRI  katanya g ada";0;0;0;0;in;1497142125888442369;1696826853280125047;edoi12345;https://twitter.com/edoi12345/status/1697032705903665511
Wed Aug 30 23:42:49 +0000 2023;1697032154465915199;"@kukuh_budiarto @gibran_tweet hihi jadi mau nya gimana? biar mas walikota edit tweet nya😐😐";0;1;0;0;in;3809975773;1696910358253011450;menyamenyanen;https://twitter.com/menyamenyanen/status/1697032154465915199
Wed Aug 30 23:42:32 +0000 2023;1697032081489150415;"@gibran_tweet Mbok referendum aja mas,";0;0;0;0;in;140863539;1696762287133217091;pandusatria_32;https://twitter.com/pandusatria_32/status/1697032081489150415
Wed Aug 30 23:42:02 +0000 2023;1697031955097993334;"@gibran_tweet Orang biru itu krisna mas😭😭";0;0;0;1;in;1600011488726380544;1696826853280125047;AmeliaN15365218;https://twitter.com/AmeliaN15365218/status/1697031955097993334
Wed Aug 30 23:41:16 +0000 2023;1697031765007941852;"@NoviAd14 @Arman_topbgt @gibran_tweet Jangan mau mba tuman..! Besok-besok bgt lagi kelakuannya sm yg lain";0;0;0;0;in;1485590932053708803;1696751606531031482;Avario15;https://twitter.com/Avario15/status/1697031765007941852
Wed Aug 30 23:39:09 +0000 2023;1697031230766927983;"Baliho Jokowi-Prabowo Muncul di Solo, Gibran: Kalau Tak Izin Copot! - detikcom #Jokowi #Prabowo https://t.co/8rL7bxp8rO";0;0;6;0;in;1377354073;1697031230766927983;aaliakhan19;https://twitter.com/aaliakhan19/status/1697031230766927983
Wed Aug 30 23:39:09 +0000 2023;1697031230611665067;"Baliho Jokowi-Prabowo Muncul di Solo, Gibran: Kalau Tak Izin Copot! - detikcom #Prabowo #Jokowi #PrabowoAja https://t.co/Wm2cwsLgX2";0;0;6;0;in;2886505632;1697031230611665067;saifsameer12;https://twitter.com/saifsameer12/status/1697031230611665067
Wed Aug 30 23:39:08 +0000 2023;1697031227935780960;"Baliho Jokowi-Prabowo Muncul di Solo, Gibran: Kalau Tak Izin Copot! - detikcom https://t.co/BQDRJBMWwI";0;0;8;0;in;2855367310;1697031227935780960;gabrielamatut2;https://twitter.com/gabrielamatut2/status/1697031227935780960
Wed Aug 30 23:37:48 +0000 2023;1697030892315877382;"@gibran_tweet Sip masbro.  Semangat.";0;0;0;0;in;1634879953006374915;1696751606531031482;YouRaiseMeUps;https://twitter.com/YouRaiseMeUps/status/1697030892315877382
Wed Aug 30 23:35:39 +0000 2023;1697030350298550760;"@ndarusipit28 @fauz13 @NoviAd14 @gibran_tweet @kontakBRI si paling tau masalah perbank an";0;1;0;0;in;1460933832119488516;1696747763294486927;Saraskund11;https://twitter.com/Saraskund11/status/1697030350298550760
Wed Aug 30 23:35:15 +0000 2023;1697030247798214909;"@NoviAd14 @Arman_topbgt @gibran_tweet Ada lg nih belum apa2 udah disuruh hapus postingan. Ceritanya mau hapus histori kebobrokan hehe";0;0;0;0;in;1411959155359817728;1696751606531031482;haxnsa_;https://twitter.com/haxnsa_/status/1697030247798214909
Wed Aug 30 23:34:29 +0000 2023;1697030056265273419;"@AgungBha @gibran_tweet Masyukkkkkkkk👻👻👻👻👻👻🤣🤣🤣🤪🤪🤪🤪🤪🤪🤣🤪🤪";0;0;0;0;in;1204704472699564033;1696751606531031482;AniDekick;https://twitter.com/AniDekick/status/1697030056265273419
Wed Aug 30 23:33:33 +0000 2023;1697029822713872764;"@gibran_tweet Emang gak beres bank yg satu ini, satpam nya pun banyak sekali yg tdk ramah, jauh jika dibandingkan sama @BankBCA";1;2;0;1;in;1662309122216435712;1696751606531031482;Ewan_4159;https://twitter.com/Ewan_4159/status/1697029822713872764
Wed Aug 30 23:29:04 +0000 2023;1697028693590425768;"Masuk 3 Besar Radar Cawapres Prabowo Gibran Sebut Aldi Taher - IDN Times Jawa Tengah #PrabowoUntukSemua #PrabowoSubianto #AgustusanBareng https://t.co/YMnIndcxWq";0;0;5;0;in;1621379469125775363;1697028693590425768;moammarfatahil1;https://twitter.com/moammarfatahil1/status/1697028693590425768
Wed Aug 30 23:27:47 +0000 2023;1697028369429499971;"@verdyvebrian @gibran_tweet @ganjarpranowo Klau sibuk joging terus petani &amp  warga yg menyampaikan keluhan mau ditangepi kpn njih ?!";0;0;0;0;in;1215695693660049408;1696911978865004764;masyarakat_desa;https://twitter.com/masyarakat_desa/status/1697028369429499971
Wed Aug 30 23:23:39 +0000 2023;1697027330210980017;"@gibran_tweet kui kampunge Smurfs mas wali, jd harus ada tanda tangan papa Smurfs agar pengajuan KUR nya bisa di smurf";0;0;0;0;in;814465262535610368;1696826853280125047;deddy_prast98;https://twitter.com/deddy_prast98/status/1697027330210980017
Wed Aug 30 23:23:38 +0000 2023;1697027327044239489;"@DokterTifa Makanya Indonesia  sekarang ini ancur karena bokapnya si @gibran_tweet penakut.. Di demo aja kl3nger ampe kabur kaburan";0;1;0;8;in;1604113772963979265;1696880103761097100;Andi_Rubby;https://twitter.com/Andi_Rubby/status/1697027327044239489
Wed Aug 30 23:23:33 +0000 2023;1697027306722836892;"diam diam ingin jadi anak Bu Mega🤟🔴🔥 #PDIPerjuangan #pdip #menang #mega #puan #Jokowi #Ganjar2024 #viralvideo #GanjarMenang #GanjarBersatu #gibran #anakmuda #pemimpin https://t.co/67DNuKPy4l";0;0;0;0;in;1464962501305458692;1697027306722836892;AsepRiswandi28;https://twitter.com/AsepRiswandi28/status/1697027306722836892
Wed Aug 30 23:23:22 +0000 2023;1697027257842499969;"@ss67_fra @Bammke25 @adietz_Edogawa @gibran_tweet Kamu juga KL benci juga segitunya...sampe ketutup mata n hatinya.";0;0;0;0;in;1344799438246535168;1696503808963272770;NurulAi55864160;https://twitter.com/NurulAi55864160/status/1697027257842499969
Wed Aug 30 23:23:03 +0000 2023;1697027178192646467;"Masuk 3 Besar Radar Cawapres Prabowo, Gibran Malah Sebut Aldi Taher  https://t.co/sjVH3DMBwj";0;0;1;0;in;1318855369641263105;1697027178192646467;IDNTimesJateng;https://twitter.com/IDNTimesJateng/status/1697027178192646467
Wed Aug 30 23:20:19 +0000 2023;1697026491937353944;"@gibran_tweet Orang biru itu orang yg habis nyuci baju putih pakau blau.";0;0;0;0;in;3228042523;1696826853280125047;ArisYul2001;https://twitter.com/ArisYul2001/status/1697026491937353944
Wed Aug 30 23:20:14 +0000 2023;1697026472245170414;"@haansaplast Setuju ! Gibran, Kaesang, Bobby dan Puan. Cukuplah sdh terakomodir semua oleh ayah ye kan ??";0;1;0;0;in;1506901764007952391;1696881880107270375;Spark_Marconi;https://twitter.com/Spark_Marconi/status/1697026472245170414
Wed Aug 30 23:18:35 +0000 2023;1697026057478734062;"@Fajar_Hikmat3 @gibran_tweet Maksudnya piye?? Ngurusi kota sendiri kok Yo cawe2...";0;0;0;0;in;1344799438246535168;1696910782959861848;NurulAi55864160;https://twitter.com/NurulAi55864160/status/1697026057478734062
Wed Aug 30 23:18:26 +0000 2023;1697026018354344365;"@kcoolj @satriohendri minim literasi. emang ada pernyataan mas @gibran_tweet mau nyalon? perasaan cuma beberapa parpol dan beberapa ketum aja yg pada mau nyalonin dia, dia sendiri mah kagak mau, kasih ke gue coba kalo dia ada bilang mau nyalon 🤔";0;0;0;0;in;3721445599;1696587888652325186;BeritaJail;https://twitter.com/BeritaJail/status/1697026018354344365
Wed Aug 30 23:15:03 +0000 2023;1697025167346782434;"@gibran_tweet Ngiyup";0;0;0;0;in;1419280092476231686;1696504482786636239;tipatiput;https://twitter.com/tipatiput/status/1697025167346782434
Wed Aug 30 23:09:38 +0000 2023;1697023804701319547;"@abu_waras KPU dan Bawaslu sudah jati tim pemenangan Ganjar Gibran";0;0;0;1;in;2318423180;1696847514144735739;jajanan_rakyat;https://twitter.com/jajanan_rakyat/status/1697023804701319547
Wed Aug 30 23:08:51 +0000 2023;1697023607103443291;"@NoviAd14 @gibran_tweet jangan mau mba, kalau emang udah busuk, busuk aja tuh pimpinan bank nya, pecatttt";0;0;0;0;in;1588652281985060866;1696751606531031482;zackmille;https://twitter.com/zackmille/status/1697023607103443291
Wed Aug 30 23:08:02 +0000 2023;1697023401519685827;"@DeHoutman_id @gibran_tweet dpt ikan bwanyak 🤣 ntum";0;0;0;0;in;1410014885719674880;1696443257998467166;pratama87188193;https://twitter.com/pratama87188193/status/1697023401519685827
Wed Aug 30 23:05:58 +0000 2023;1697022879991480480;"@gibran_tweet @BANKBRI_ID @kontakBRI mana tanggungjawab mu?";0;0;0;0;in;173071793;1696751606531031482;penjelajahhh;https://twitter.com/penjelajahhh/status/1697022879991480480
Wed Aug 30 23:02:56 +0000 2023;1697022116863070314;"@muklistiono @gibran_tweet Maksudnya hanya smurf yg dapet KUR? https://t.co/2ZyZtAO9Lb";0;0;0;2;in;1604604039181881345;1696751606531031482;guust96;https://twitter.com/guust96/status/1697022116863070314
Wed Aug 30 23:02:01 +0000 2023;1697021884246970576;"@gibran_tweet Orang biru itu, mengingatkanku pilem Avatar.";0;0;0;0;in;285175782;1696826853280125047;Wari_EL_Dawangi;https://twitter.com/Wari_EL_Dawangi/status/1697021884246970576
Wed Aug 30 23:00:52 +0000 2023;1697021595360088110;"@muklistiono @gibran_tweet Bisa jadi (dugaan sj)penyaluran di cabang tsb  1. sudah limit quota KUR,  2. Sdh 3x KUR, kalo &gt  3x KUR hrs kredit yg reguler/komersil, 3. ordal games.  Soalnya sdr sy alami sprti kss ini, di Pandeglang.";0;0;0;0;in;516555256;1696751606531031482;MuzlimIndonesia;https://twitter.com/MuzlimIndonesia/status/1697021595360088110
Wed Aug 30 22:54:14 +0000 2023;1697019928434626873;"@gibran_tweet Jawaban yg tepat &amp  tidak terbantahkan...";0;0;0;0;in;2319999883;1696762287133217091;NaufalKawakib;https://twitter.com/NaufalKawakib/status/1697019928434626873
Wed Aug 30 22:51:00 +0000 2023;1697019113808515341;"@NoviAd14 @gibran_tweet @kontakBRI Sudah disampaikan juga kasusnya ke direksi @BANKBRI_ID";0;0;0;0;in;41569393;1696747763294486927;Rrangga;https://twitter.com/Rrangga/status/1697019113808515341
Wed Aug 30 22:50:32 +0000 2023;1697018996263104991;"@ss67_fra @gibran_tweet Lebuayyyyy njir";0;0;0;0;in;585599917;1696909925447069856;tom24ever;https://twitter.com/tom24ever/status/1697018996263104991
Wed Aug 30 22:50:19 +0000 2023;1697018941804302464;"@RafliPadang @gibran_tweet Gk di perbaiki  ngomel    Lom selesai  ngomel...kok gk pean ewangi  Ben cpt rampung...";0;0;0;0;in;1606709706537717760;1696759807812976775;AstutikBertha;https://twitter.com/AstutikBertha/status/1697018941804302464
Wed Aug 30 22:48:56 +0000 2023;1697018595585437940;"@AbabilSemprong @gibran_tweet Jln rusak ngomel jln di perbaiki ngomel  Itu lha sifat  manusia  yg gk bisa Di hilngkn😀😀";0;0;0;0;in;1606709706537717760;1696759807812976775;AstutikBertha;https://twitter.com/AstutikBertha/status/1697018595585437940
Wed Aug 30 22:40:56 +0000 2023;1697016580629254474;"@gibran_tweet Temenku yg kerja di BRI jg pernah kehilangan sertif rumah nasabahnya";0;0;0;0;in;1016491062259400704;1696751606531031482;chocolatteni;https://twitter.com/chocolatteni/status/1697016580629254474
Wed Aug 30 22:36:03 +0000 2023;1697015353422041331;"@ss67_fra @gibran_tweet Alhamdulillah....capernya sukses ya bang..🙏";0;0;0;1;in;1257933954490839040;1696909925447069856;CiderVinegarAsm;https://twitter.com/CiderVinegarAsm/status/1697015353422041331
Wed Aug 30 22:32:52 +0000 2023;1697014549403324923;"Dah tahulah semua rakyat @bawaslu_RI nggak bakal kasih sanksi, yg mestinya kasih sanksi @Kemendagri_RI dong @gibran_tweet  kan masih pejabat aktif, jelas2 korupsi waktu tdk bisa jd contoh bawahan";0;0;0;0;in;1603550533041561600;1697014549403324923;yulian667192;https://twitter.com/yulian667192/status/1697014549403324923
Wed Aug 30 22:32:37 +0000 2023;1697014486430003431;"@KompasTV udah, Gibran aja suruh debat berani gak? ini anak cuma bisanya koar koar mentang mentang banyak pendukungnya.padahal kalo bukan anak presiden paling jadi pecundang";0;1;0;2;in;1603713784505257984;1696918032751468943;muhammadabdia15;https://twitter.com/muhammadabdia15/status/1697014486430003431
Wed Aug 30 22:29:55 +0000 2023;1697013807024099434;"@Michaelnur6 @gibran_tweet @jokowi anehnya ada yg bilang si itu cuma pintar merangkai kata tapi bo'ong semua, pdhl jagoannya sdh tidak bisa merangkai kata plus bo'ong semua pula";0;0;0;0;in;1467941813361143808;1696703863208947858;Erni483;https://twitter.com/Erni483/status/1697013807024099434
Wed Aug 30 22:27:56 +0000 2023;1697013307939672146;"Anak yg sombong, sdh pasti @bawaslu_RI akan mengatakan tdk ada pelanggaran semestinya lu sendiri @gibran_tweet yg minta maaf ke rajyat lu karena sdh korupsi waktu saat masih aktif tp meninggalkan tugas ...";0;0;0;0;in;1603550533041561600;1697013307939672146;yulian667192;https://twitter.com/yulian667192/status/1697013307939672146
