created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Sep 09 23:54:18 +0000 2023;1700658923991339099;"@WagimanDeep212_ @gibran_tweet @GanindutoDico @pkk Yang bilang receh, harus bilang Wow, gak mutu dan nyinyiran lain...otak anda TIDAK SEHAT.......udah gitu aja";0;0;0;0;in;98363056;1698962525562478963;Sumandie;https://twitter.com/Sumandie/status/1700658923991339099
Sat Sep 09 23:52:15 +0000 2023;1700658406355525820;"Puri Gedeh menjadi saksi setia perjalanan hidupnya, tempat di mana Ganjar tidak hanya belajar, tetapi juga menemukan banyak inspirasi dalam menjalani peran sebagai seorang Gubernur.  #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua https://t.co/YeXWtbVxHK";0;0;2;6;in;1463720993176784901;1700658406355525820;Omnya_Gibran;https://twitter.com/Omnya_Gibran/status/1700658406355525820
Sat Sep 09 23:47:48 +0000 2023;1700657285108990168;"pakde @jokowi apakah mau meninggalkan jejak hitam seperti ini tho mas @gibran_tweet @kaesangp ??";0;0;0;0;in;201446053;1700657285108990168;tunggalcandra;https://twitter.com/tunggalcandra/status/1700657285108990168
Sat Sep 09 23:46:14 +0000 2023;1700656894459707840;"Muncul Baliho Bersama Prabowo di Labuan Bajo, Gibran: Belum ... - https://t.co/DyZhIBLveZ #Jokowinomics #MenataMasaDepan #BersamaPrabowo https://t.co/Y20Imk4hqP";0;0;6;0;in;1575391493136973824;1700656894459707840;birjd;https://twitter.com/birjd/status/1700656894459707840
Sat Sep 09 23:46:14 +0000 2023;1700656894044758096;"Muncul Baliho Bersama Prabowo di Labuan Bajo, Gibran: Belum ... - https://t.co/w9P12RBC0p #Jokowinomics #MenataMasaDepan #BersamaPrabowo https://t.co/5Ramj2ncdd";0;0;6;0;in;1077380182485266432;1700656894044758096;sfluttt;https://twitter.com/sfluttt/status/1700656894044758096
Sat Sep 09 23:46:14 +0000 2023;1700656893990170644;"Muncul Baliho Bersama Prabowo di Labuan Bajo, Gibran: Belum ... - https://t.co/1fTkZf49CR #Jokowinomics #MenataMasaDepan #BersamaPrabowo https://t.co/dgJHrJuapt";0;0;6;0;in;1625394197493858307;1700656893990170644;beriesr;https://twitter.com/beriesr/status/1700656893990170644
Sat Sep 09 23:46:14 +0000 2023;1700656890961899761;"Muncul Baliho Bersama Prabowo di Labuan Bajo, Gibran: Belum ... - https://t.co/jGZq87Tclj #Jokowinomics #MenataMasaDepan #BersamaPrabowo https://t.co/GInR9jTWbu";0;0;6;0;in;1093841508619304960;1700656890961899761;roxeuu;https://twitter.com/roxeuu/status/1700656890961899761
Sat Sep 09 23:46:14 +0000 2023;1700656890915729440;"Muncul Baliho Bersama Prabowo di Labuan Bajo, Gibran: Belum ... - https://t.co/ywCv4OeAt6 #Jokowinomics #MenataMasaDepan #BersamaPrabowo https://t.co/LJkYj9v2FL";0;0;6;0;in;1422585122;1700656890915729440;sejeootg;https://twitter.com/sejeootg/status/1700656890915729440
Sat Sep 09 23:39:38 +0000 2023;1700655230982271336;"@adearmando61 Bang Ade, kok nggak pernah bahas soal PSI yg maksain pake jaket PSI ke Gibran atau program makan gratisnya Prabowo?";0;6;0;2;in;1296788864988635136;1700648863546400996;RianMah58807650;https://twitter.com/RianMah58807650/status/1700655230982271336
Sat Sep 09 23:37:52 +0000 2023;1700654787946320140;"@gibran_tweet Semogaa aku bs pergii jalan² ke Solo 😊";0;0;0;0;in;1603976402214465536;1700551057045438599;laxmee__;https://twitter.com/laxmee__/status/1700654787946320140
