created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Jul 14 23:56:54 +0000 2023;1680003468537503745;"@Jipesss @gibran_tweet Emang berhijab gak boleh dilihat?ah..lebay loe....klu gak mau dilihat,pakai jurus ngilang...";0;0;0;0;in;1627964985933713410;1676570865608318976;TiyangJ28610724;https://twitter.com/TiyangJ28610724/status/1680003468537503745
Fri Jul 14 23:48:57 +0000 2023;1680001466512310272;"@Lazt_aZa @gibran_tweet Lewat pinggir";0;0;0;1;in;1135182840511885313;1679873719228043264;Ryu53944310;https://twitter.com/Ryu53944310/status/1680001466512310272
Fri Jul 14 23:48:31 +0000 2023;1680001359599525891;"@gibran_tweet Bener🤣";0;0;0;0;tr;1135182840511885313;1679873719228043264;Ryu53944310;https://twitter.com/Ryu53944310/status/1680001359599525891
Fri Jul 14 23:43:35 +0000 2023;1680000116969865216;"@pengarang_sajak @gibran_tweet Se7 harus ada mentri perkotaan bukan hanya mentri pedesaan ada, cerdas mas anies😁 https://t.co/mSgDiGckVb";0;0;0;0;in;1340070878814457858;1679541377724719104;SarminaUsman;https://twitter.com/SarminaUsman/status/1680000116969865216
Fri Jul 14 23:38:20 +0000 2023;1679998795885723649;"@_MbakSri_ Padahal gubernurnya ex- tni,  keamanan gak ter jamin  juga..mending gibran..😇🙂";0;0;1;1;in;85508650;1679876349778071552;waluyoiskandar;https://twitter.com/waluyoiskandar/status/1679998795885723649
Fri Jul 14 23:36:57 +0000 2023;1679998446089150464;"@gibran_tweet Yang benar adalah Solo bersinar karena dipasangi lampu.";0;0;0;0;in;1316959034251988992;1679780279437910017;CupangSawah7;https://twitter.com/CupangSawah7/status/1679998446089150464
Fri Jul 14 23:14:28 +0000 2023;1679992788346368000;"@pengarang_sajak @gibran_tweet Ada menteri kelautan, nanti kalau Anis jadi pesinden ditambahkan menteri yang urus daratan, namanya menteri  kedaratan";0;0;0;0;in;1619633759640489989;1679541377724719104;PetrusRadison;https://twitter.com/PetrusRadison/status/1679992788346368000
Fri Jul 14 22:55:27 +0000 2023;1679988003727642627;"@gibran_tweet Telo mas,,,ampun supen kopine kejenge mboten seret";0;0;0;1;in;1553339720238632960;1679873719228043264;LukasYunianto;https://twitter.com/LukasYunianto/status/1679988003727642627
Fri Jul 14 22:42:50 +0000 2023;1679984829646123009;"@gibran_tweet Pinter 👏 ayo ambil sepedanya sana.... 🚲";0;0;0;1;in;122399723;1679873719228043264;Basodagembira;https://twitter.com/Basodagembira/status/1679984829646123009
Fri Jul 14 22:41:50 +0000 2023;1679984576083693569;"@Nikmatul_Sg @gibran_tweet takbir,tapi ngajak"merusak"";0;0;0;0;in;1663806322377363456;1679808398983041025;AUdinunyu27760;https://twitter.com/AUdinunyu27760/status/1679984576083693569
