created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 31 23:59:57 +0000 2024;1752844198112551277;"@ganjarpranowo @mohmahfudmd Prabowo Gibran maju terus pantang mundur";0;0;0;0;in;2322222043;1752613788002721961;5Wicakson;https://twitter.com/5Wicakson/status/1752844198112551277
Wed Jan 31 23:59:32 +0000 2024;1752844091426320612;"@ganjarpranowo @beingluvyouall @mohmahfudmd Prabowo Gibran maju terus pantang mundur";0;0;0;0;in;2322222043;1752613788002721961;5Wicakson;https://twitter.com/5Wicakson/status/1752844091426320612
Wed Jan 31 23:59:01 +0000 2024;1752843961327325297;"@blantik_pedhet2 Preeeettt kapan wowo mundur juga berani gak ?? Apa keenakan pakai fasilitas negara ???";0;0;1;3;in;1524615212875546625;1752718502069465311;allkacruuut;https://twitter.com/allkacruuut/status/1752843961327325297
Wed Jan 31 23:58:57 +0000 2024;1752843945065971797;"@tempodotco aneh.... mundur aja pak sbg jawaban dari pernyataan bpk diatas...!! lebih elegan dan bisa memaksa penguasa utk menuntaskannya";0;0;0;5;in;1513694552443727873;1752841080503214358;DermagaGarely;https://twitter.com/DermagaGarely/status/1752843945065971797
Wed Jan 31 23:58:49 +0000 2024;1752843913327759371;"@antaranews keren nih pak Mahfud, yok untuk paslon lain bisa contoh pak Mahfud ini yang rela mundur  dari jabatannya";0;1;0;0;in;1728191860638994432;1752598508644036912;indo_army32817;https://twitter.com/indo_army32817/status/1752843913327759371
Wed Jan 31 23:58:49 +0000 2024;1752843912555942000;"@Mdy_Asmara1701 Modal cuma baca undang² sepotong sepotong mau debat sama orang yg paham uu secara tepat dan benar, jelas beda kelas, sorry yee, gak level yeee.😃😃😃";0;0;0;0;in;1522597334869192704;1752568580326207496;Maju_Mundur01;https://twitter.com/Maju_Mundur01/status/1752843912555942000
Wed Jan 31 23:58:47 +0000 2024;1752843904456720735;"@kompascom Kira2 kapan sandi juga mundur?";0;0;0;0;in;1557525454160265216;1752711979628961859;antoreborn78;https://twitter.com/antoreborn78/status/1752843904456720735
Wed Jan 31 23:58:38 +0000 2024;1752843866234130895;"@tempodotco @korantempo "anda meminta saya mundur supaya kampanye tidak menggunakan fasilitas negara? yg bener aja, rugi donk!" 🗿";0;0;0;0;in;1302992785243398144;1752601830847303732;MBA_0_0_8;https://twitter.com/MBA_0_0_8/status/1752843866234130895
Wed Jan 31 23:58:36 +0000 2024;1752843857820365213;"@adjisdoaibu Berarti udah ada tekanan dari @MamatAlkatiri yaa Pak Pres? Udah omongin mundur gini. gaswat";0;0;0;0;in;1588012173460406272;1752680462697570623;madjoedjaja;https://twitter.com/madjoedjaja/status/1752843857820365213
Wed Jan 31 23:58:16 +0000 2024;1752843772147495071;"@bhulukhuduktv Salah satu yg buat Pram memilih mundur dari pelatnas adalah mental health. Sekarang Rinov juga bilang soal mental juga. Mungkin perlu Psikolog atau Psikiater buat kondisi ini. Takutnya ntar semua pemain sebenernya ngalamin yg sama";0;2;0;4;in;989316998562639873;1752835528213614872;feriindrawan18;https://twitter.com/feriindrawan18/status/1752843772147495071
Wed Jan 31 23:58:09 +0000 2024;1752843743164830153;"Terjadi dua kelompok : Kelompok A mundur dari jabatan demi mendukung calon C. Kelompok B mendukung calon D demi mencari jabatan.";0;0;0;0;in;117102976;1752843743164830153;sujiono2010;https://twitter.com/sujiono2010/status/1752843743164830153
Wed Jan 31 23:57:54 +0000 2024;1752843681122672811;"Miris sih dgn kondisi per-politikan saat ini. Keberpihakan yg tak seharus nya dan sikap tak netral para pejabat. Demokrasi mulai tak sehat ~  Breaking News Mamah Dedeh Kades Mundur Mengundurkan Diri Melki MilihPakBOWO MilihMENANG Ria Ricis #BantuAlamG4nj4r https://t.co/LcwshuhuPt";0;0;3;3;in;950950548492099584;1752843681122672811;alviano_vino17;https://twitter.com/alviano_vino17/status/1752843681122672811
Wed Jan 31 23:57:52 +0000 2024;1752843671907762581;"@RioFebrio3P Diktator piye maksudmu? Yang diktator itu mengangkat diri sendiri jadi presiden seumur hidup dan jadi presiden tidak mau ada wakil presiden setelah bung Hatta mundur..nyuk munyuk";0;0;0;0;in;1444206305057538052;1752596817873883613;NoviBudi78;https://twitter.com/NoviBudi78/status/1752843671907762581
Wed Jan 31 23:57:50 +0000 2024;1752843663393317129;"@YulianaSaraya Saya ga gila jabatan mba aniss. Muke gileee. Tapi elo kaga mundur. Dasar ubur ubur 🤣🤣";0;0;0;1;in;970736194903420933;1752842469048545720;Yus_197;https://twitter.com/Yus_197/status/1752843663393317129
Wed Jan 31 23:57:40 +0000 2024;1752843621269975210;"Sekarang  1 feb 2024, dah nyerah mundur teratur good bye 🏳🏳🏳";0;0;0;0;in;1679483481355853824;1752843621269975210;vellayeen;https://twitter.com/vellayeen/status/1752843621269975210
Wed Jan 31 23:57:15 +0000 2024;1752843516856967507;"@yusuf_dumdum @mohmahfudmd Udah mau pencoblosan baru mundur...capek deh";0;0;0;0;in;1008006146702000128;1752599100678369423;masteripan24;https://twitter.com/masteripan24/status/1752843516856967507
Wed Jan 31 23:56:13 +0000 2024;1752843258882117903;"@madamhoseok_ syok banget mundur 54 tahun";0;0;0;0;in;760821813416894464;1752841033665380592;awayyae;https://twitter.com/awayyae/status/1752843258882117903
Wed Jan 31 23:55:54 +0000 2024;1752843179391635571;"@Kimberley_PS08 Simalakama. Dak mundur, kasus koropsi banyak dri pengusung.dak mau jadi bemper ntar dipojokin di debat berikut. Mundur, blum tentu naik elekta.malah bisa tambah turun.sdah dak punya power.😅🙈";0;1;0;3;in;1499948920079728640;1752838309435564217;AnangSunarto11;https://twitter.com/AnangSunarto11/status/1752843179391635571
Wed Jan 31 23:55:51 +0000 2024;1752843163923071259;"Respect Prof Mahmud. Kalo yg lain ikut mundur sorry yee sorry yee";0;0;0;0;in;105725926;1752843163923071259;tamhares;https://twitter.com/tamhares/status/1752843163923071259
Wed Jan 31 23:55:44 +0000 2024;1752843137138168002;"@KompasTV Pakde gak mundur jadi Gubernur?";0;0;0;0;in;449565266;1752660015981396325;heru_sasono;https://twitter.com/heru_sasono/status/1752843137138168002
Wed Jan 31 23:55:12 +0000 2024;1752843000655597709;"@jokowi Ra nggagas pak. Mbok wes mundur wae sampeyan. Wes ngrusak demokrasi. Bikin negara jadi kacau balau.";0;0;0;0;in;2438315065;1752724051423072668;yosemite_ru;https://twitter.com/yosemite_ru/status/1752843000655597709
Wed Jan 31 23:55:03 +0000 2024;1752842964873912608;"Jokowi Sebut Belum Dapat Laporan Soal Rencana Mahfud Md Mundur https://t.co/Pk60BNqeQt #TempoNasional";2;1;0;2;in;18129942;1752842964873912608;tempodotco;https://twitter.com/tempodotco/status/1752842964873912608
Wed Jan 31 23:55:03 +0000 2024;1752842961996636644;"@msaid_didu Ya nggak lah...beliau mundur kan karena beda haluan politik.";0;1;0;0;in;1517330650931826688;1752708146043482455;BoyRembaya;https://twitter.com/BoyRembaya/status/1752842961996636644
Wed Jan 31 23:54:41 +0000 2024;1752842872204964304;"@narkosun @mohmahfudmd Jangan berharap prabowo mundur, karena dia TIDAK mengejar kekuasaan, hanya mengejar jabatan presiden, karena sejak tidak berkuasa, bisnis macet.";0;0;0;1;in;60813388;1752613510188859446;arivpermana;https://twitter.com/arivpermana/status/1752842872204964304
Wed Jan 31 23:54:39 +0000 2024;1752842861677301799;"@detikcom Sadar beda kapasitas, mundur mas, kasih ke yang pantas,";0;0;0;0;in;176018138;1752578960548884554;rezawiraisyi;https://twitter.com/rezawiraisyi/status/1752842861677301799
Wed Jan 31 23:54:39 +0000 2024;1752842861207540110;"Ibu @susipudjiastuti yg #Humanies, #HaveAniesDay, yuk #AMINkanIndonesia BREAKING NEWS ttg petisi @UGMYogyakarta, demo APDESI, pak @mohmahfudmd mundur ini sebagai teladan yg baik, kampanye @AgusYudhoyono @PDemokrat Malang. Saatnya #AniesMuhaimin2024 #presiden pilihan #rakyat *EST* https://t.co/0sZs3yXr7z";0;0;0;0;in;3113590022;1752842861207540110;EddySuryant0n0;https://twitter.com/EddySuryant0n0/status/1752842861207540110
Wed Jan 31 23:54:27 +0000 2024;1752842814814347281;"dulu pernah ada yang bilang, kamu masih dalam keadaan buta sekarang, nanti kalau udah kena, baru deh, sadar semua hal yang harusnya udah buat mundur dari dulu";0;0;0;0;in;1541108759405395968;1752842814814347281;Vayyy_aple;https://twitter.com/Vayyy_aple/status/1752842814814347281
Wed Jan 31 23:54:23 +0000 2024;1752842797848412574;"@Iwa_Kusuma @islah_bahrawi Mundur di tengah jalan perjuangan itupun setelah bakal kalah di depan mata kok dianggap bagus yak??   Aneh emang pendukung 03 ngakunya metal ternyata Mental ga sebagus nyanyinya hehehe @Iwa_Kusuma  @islah_bahrawi";0;0;0;0;in;231669058;1752621125778247976;mikkaulia;https://twitter.com/mikkaulia/status/1752842797848412574
Wed Jan 31 23:53:54 +0000 2024;1752842676503007438;"@tvOneNews Trus Prabowo Kapan mundur??? Gibran kapan mundur??? @prabowo  @gibran_tweet  @Gerindra";0;0;0;0;in;992687644290117632;1752679709815775305;raja_rommel;https://twitter.com/raja_rommel/status/1752842676503007438
Wed Jan 31 23:53:51 +0000 2024;1752842660522664259;"@tvOneNews drpd wowo takut mundur...takut kehilangan pamor...";0;0;0;0;in;1700011889181560832;1752679709815775305;HasankQhus93532;https://twitter.com/HasankQhus93532/status/1752842660522664259
Wed Jan 31 23:53:40 +0000 2024;1752842617421963629;"@arielnoah_81 Tapi keren mvnya mundur-mundur gitu, lagunya apalagi😻";0;0;0;0;in;1539502105467457536;1752667455565246674;juynoem;https://twitter.com/juynoem/status/1752842617421963629
Wed Jan 31 23:53:26 +0000 2024;1752842555497251166;"SAYA MENGAJUKAN KOMPLAIN LAGI DAN MUNDUR LAGI SAMPAI TANGGAL 4 FEBRUARI (BERARTI 17 HARI DARI TANGGAL PEMBELIAN). NTAH UDAH JADI APA BARANG SAYA DI KAPAL KALAU BEGINI. https://t.co/nzLlG27KfW";0;1;0;0;in;728152228016447488;1752839705677512964;haditonotjk;https://twitter.com/haditonotjk/status/1752842555497251166
Wed Jan 31 23:53:20 +0000 2024;1752842530511802757;"@iif888 @nongandah @mohmahfudmd prabowo berani mundur ? gibran berani mundur ?";0;0;0;0;in;1704270214832193536;1752688577715331304;agungtrira67320;https://twitter.com/agungtrira67320/status/1752842530511802757
Wed Jan 31 23:53:10 +0000 2024;1752842490066214917;"@kurawa MUNDAKIR: Mundur ndasmu muntir, enak ajaaa fasilitas komplit kok ditinggal pala louu pecaah";0;0;0;1;in;1254929201334894592;1752678971496632822;mohamad82583073;https://twitter.com/mohamad82583073/status/1752842490066214917
